cidade_match,BAIRRO DO FATO,ano,mes,count
Arapiraca,Jardim Esperança,2020,7,1
Arapiraca,Jardim Esperança,2021,8,1
Arapiraca,Jardim Esperança,2023,6,1
Arapiraca,Jardim Esperança,2024,2,1
Arapiraca,Jardim Esperança,2025,2,1
Arapiraca,Jardim Tropical,2012,5,1
Arapiraca,Jardim Tropical,2012,10,1
Arapiraca,Jardim Tropical,2013,4,1
Arapiraca,Jardim Tropical,2013,5,1
Arapiraca,Jardim Tropical,2013,7,1
Arapiraca,Jardim Tropical,2013,10,1
Arapiraca,Jardim Tropical,2014,12,1
Arapiraca,Jardim Tropical,2015,3,1
Arapiraca,Jardim Tropical,2015,9,1
Arapiraca,Jardim Tropical,2017,9,1
Arapiraca,Jardim Tropical,2017,12,1
Arapiraca,Jardim Tropical,2019,1,1
Arapiraca,Jardim Tropical,2019,4,1
Arapiraca,Jardim Tropical,2022,4,1
Arapiraca,Jardim Tropical,2022,7,1
Arapiraca,Jardim Tropical,2022,9,1
Arapiraca,Jardim de Maria,2024,10,1
Arapiraca,João Paulo II,2014,11,1
Arapiraca,João Paulo II,2014,12,1
Arapiraca,João Paulo II,2015,1,1
Arapiraca,João Paulo II,2015,11,1
Arapiraca,João Paulo II,2016,5,1
Arapiraca,João Paulo II,2016,7,1
Arapiraca,João Paulo II,2017,8,1
Arapiraca,João Paulo II,2019,11,1
Arapiraca,João Paulo II,2019,12,1
Arapiraca,João Paulo II,2020,6,1
Arapiraca,João Paulo II,2020,11,1
Arapiraca,João Paulo II,2021,4,1
Arapiraca,João Paulo II,2022,3,2
Arapiraca,Mangabeiras,2013,12,1
Arapiraca,Mangabeiras,2015,6,1
Arapiraca,Mangabeiras,2015,11,1
Arapiraca,Mangabeiras,2019,5,1
Arapiraca,Mangabeiras,2020,3,1
Arapiraca,Mangabeiras,2020,6,1
Arapiraca,Mangabeiras,2021,1,2
Arapiraca,Mangabeiras,2023,10,1
Arapiraca,Mangabeiras,2025,6,1
Arapiraca,Mangabeiras,2025,10,1
Arapiraca,Manoel Teles,2012,1,1
Arapiraca,Manoel Teles,2012,2,1
Arapiraca,Manoel Teles,2012,4,1
Arapiraca,Manoel Teles,2012,6,1
Arapiraca,Manoel Teles,2012,7,1
Arapiraca,Manoel Teles,2012,9,1
Arapiraca,Manoel Teles,2012,10,1
