cidade_norm,ano,semestre,count
Colônia Leopoldina,2017,S2,7
Colônia Leopoldina,2018,S1,11
Colônia Leopoldina,2018,S2,10
Colônia Leopoldina,2019,S1,11
Colônia Leopoldina,2019,S2,7
Colônia Leopoldina,2020,S1,8
Colônia Leopoldina,2020,S2,12
Colônia Leopoldina,2021,S1,4
Colônia Leopoldina,2021,S2,4
Colônia Leopoldina,2022,S1,3
Colônia Leopoldina,2022,S2,1
Colônia Leopoldina,2023,S1,3
Colônia Leopoldina,2023,S2,2
Colônia Leopoldina,2024,S1,2
Colônia Leopoldina,2024,S2,3
Colônia Leopoldina,2025,S1,3
Colônia Leopoldina,2026,S1,1
Coqueiro Seco,2012,S1,1
Coqueiro Seco,2013,S1,2
Coqueiro Seco,2013,S2,5
Coqueiro Seco,2014,S1,1
Coqueiro Seco,2014,S2,1
Coqueiro Seco,2015,S1,2
Coqueiro Seco,2015,S2,5
Coqueiro Seco,2016,S1,2
Coqueiro Seco,2016,S2,1
Coqueiro Seco,2017,S1,4
Coqueiro Seco,2017,S2,3
Coqueiro Seco,2018,S1,3
Coqueiro Seco,2018,S2,3
Coqueiro Seco,2019,S1,2
Coqueiro Seco,2019,S2,2
Coqueiro Seco,2020,S1,2
Coqueiro Seco,2020,S2,1
Coqueiro Seco,2021,S1,3
Coqueiro Seco,2021,S2,1
Coqueiro Seco,2022,S2,4
Coqueiro Seco,2023,S1,2
Coqueiro Seco,2023,S2,3
Coqueiro Seco,2024,S1,1
Coqueiro Seco,2024,S2,1
Coqueiro Seco,2025,S1,2
Coqueiro Seco,2025,S2,1
Coruripe,2012,S1,31
Coruripe,2012,S2,24
Coruripe,2013,S1,23
Coruripe,2013,S2,8
Coruripe,2014,S1,32
Coruripe,2014,S2,22
Coruripe,2015,S1,20
Coruripe,2015,S2,15
Coruripe,2016,S1,24
Coruripe,2016,S2,24
Coruripe,2017,S1,25
Coruripe,2017,S2,22
Coruripe,2018,S1,26
Coruripe,2018,S2,4
Coruripe,2019,S1,7
Coruripe,2019,S2,12
Coruripe,2020,S1,4
Coruripe,2020,S2,3
Coruripe,2021,S1,9
Coruripe,2021,S2,10
Coruripe,2022,S1,7
Coruripe,2022,S2,9
Coruripe,2023,S1,7
Coruripe,2023,S2,3
Coruripe,2024,S1,5
Coruripe,2024,S2,9
Coruripe,2025,S1,9
Coruripe,2025,S2,3
Coruripe,2026,S1,2
Craíbas,2012,S1,2
Craíbas,2012,S2,5
Craíbas,2013,S1,4
Craíbas,2013,S2,7
Craíbas,2014,S1,5
Craíbas,2014,S2,10
Craíbas,2015,S1,2
Craíbas,2015,S2,7
Craíbas,2016,S1,8
Craíbas,2016,S2,3
Craíbas,2017,S1,4
Craíbas,2017,S2,5
Craíbas,2018,S1,5
Craíbas,2018,S2,2
Craíbas,2019,S1,3
Craíbas,2019,S2,5
Craíbas,2020,S1,2
Craíbas,2020,S2,4
Craíbas,2021,S1,1
Craíbas,2021,S2,2
Craíbas,2022,S1,4
Craíbas,2022,S2,2
Craíbas,2023,S1,4
Craíbas,2023,S2,6
Craíbas,2024,S1,7
Craíbas,2024,S2,4
Craíbas,2025,S1,2
Craíbas,2025,S2,1
Craíbas,2026,S1,3
Delmiro Gouveia,2012,S1,12
Delmiro Gouveia,2012,S2,18
Delmiro Gouveia,2013,S1,7
Delmiro Gouveia,2013,S2,4
Delmiro Gouveia,2014,S1,8
Delmiro Gouveia,2014,S2,7
Delmiro Gouveia,2015,S1,6
Delmiro Gouveia,2015,S2,10
Delmiro Gouveia,2016,S1,7
Delmiro Gouveia,2016,S2,5
Delmiro Gouveia,2017,S1,6
Delmiro Gouveia,2017,S2,6
Delmiro Gouveia,2018,S1,7
Delmiro Gouveia,2018,S2,6
Delmiro Gouveia,2019,S1,7
Delmiro Gouveia,2019,S2,8
Delmiro Gouveia,2020,S1,4
Delmiro Gouveia,2020,S2,4
Delmiro Gouveia,2021,S1,9
Delmiro Gouveia,2021,S2,2
Delmiro Gouveia,2022,S1,4
Delmiro Gouveia,2022,S2,8
Delmiro Gouveia,2023,S1,4
Delmiro Gouveia,2023,S2,6
Delmiro Gouveia,2024,S1,7
Delmiro Gouveia,2024,S2,5
Delmiro Gouveia,2025,S1,4
Delmiro Gouveia,2025,S2,4
Delmiro Gouveia,2026,S1,1
Dois Riachos,2012,S1,3
Dois Riachos,2012,S2,4
Dois Riachos,2013,S1,4
Dois Riachos,2013,S2,2
Dois Riachos,2014,S1,4
Dois Riachos,2014,S2,3
Dois Riachos,2015,S1,1
Dois Riachos,2015,S2,4
Dois Riachos,2016,S1,3
Dois Riachos,2016,S2,2
Dois Riachos,2017,S1,2
Dois Riachos,2017,S2,1
Dois Riachos,2018,S1,3
Dois Riachos,2019,S2,1
Dois Riachos,2020,S1,1
Dois Riachos,2020,S2,4
Dois Riachos,2021,S1,2
Dois Riachos,2021,S2,3
Dois Riachos,2022,S1,2
Dois Riachos,2022,S2,6
Dois Riachos,2023,S2,2
Dois Riachos,2024,S1,2
Dois Riachos,2024,S2,1
Dois Riachos,2025,S1,2
Dois Riachos,2025,S2,2
Estrela de Alagoas,2012,S1,4
Estrela de Alagoas,2012,S2,2
Estrela de Alagoas,2013,S1,5
Estrela de Alagoas,2013,S2,3
Estrela de Alagoas,2014,S1,1
Estrela de Alagoas,2014,S2,4
Estrela de Alagoas,2015,S1,2
Estrela de Alagoas,2015,S2,2
Estrela de Alagoas,2016,S2,2
Estrela de Alagoas,2017,S1,3
Estrela de Alagoas,2017,S2,4
Estrela de Alagoas,2018,S1,1
Estrela de Alagoas,2018,S2,1
Estrela de Alagoas,2019,S1,3
Estrela de Alagoas,2020,S1,1
Estrela de Alagoas,2021,S1,2
Estrela de Alagoas,2021,S2,2
Estrela de Alagoas,2022,S2,1
Estrela de Alagoas,2023,S1,2
Estrela de Alagoas,2023,S2,1
Estrela de Alagoas,2024,S1,2
Estrela de Alagoas,2024,S2,1
Estrela de Alagoas,2025,S1,5
Feira Grande,2012,S1,3
Feira Grande,2012,S2,5
Feira Grande,2013,S1,6
Feira Grande,2013,S2,4
Feira Grande,2014,S1,4
Feira Grande,2014,S2,8
Feira Grande,2015,S1,4
Feira Grande,2015,S2,7
Feira Grande,2016,S1,7
Feira Grande,2016,S2,4
Feira Grande,2017,S1,3
Feira Grande,2017,S2,7
Feira Grande,2018,S1,4
Feira Grande,2018,S2,3
Feira Grande,2019,S1,3
Feira Grande,2019,S2,3
Feira Grande,2020,S1,1
Feira Grande,2020,S2,2
Feira Grande,2021,S1,3
Feira Grande,2021,S2,5
Feira Grande,2022,S1,3
Feira Grande,2022,S2,1
Feira Grande,2023,S2,1
Feira Grande,2024,S2,1
Feira Grande,2025,S1,2
Feira Grande,2025,S2,1
Feira Grande,2026,S1,2
Feliz Deserto,2012,S1,2
Feliz Deserto,2012,S2,1
Feliz Deserto,2013,S1,2
Feliz Deserto,2014,S1,4
Feliz Deserto,2015,S2,2
Feliz Deserto,2016,S1,2
Feliz Deserto,2016,S2,3
Feliz Deserto,2017,S1,2
Feliz Deserto,2017,S2,1
Feliz Deserto,2018,S1,2
Feliz Deserto,2018,S2,1
Feliz Deserto,2019,S1,1
Feliz Deserto,2020,S1,3
Feliz Deserto,2020,S2,2
Feliz Deserto,2021,S1,2
Feliz Deserto,2021,S2,1
Feliz Deserto,2022,S1,1
Feliz Deserto,2022,S2,1
Feliz Deserto,2023,S1,2
Feliz Deserto,2024,S2,2
Feliz Deserto,2025,S2,1
Flexeiras,2012,S1,3
Flexeiras,2012,S2,4
Flexeiras,2013,S1,7
Flexeiras,2013,S2,5
Flexeiras,2014,S1,3
Flexeiras,2014,S2,4
Flexeiras,2015,S1,5
Flexeiras,2015,S2,6
Flexeiras,2016,S1,6
Flexeiras,2016,S2,2
Flexeiras,2017,S1,7
Flexeiras,2017,S2,4
Flexeiras,2018,S1,5
Flexeiras,2018,S2,5
Flexeiras,2019,S1,4
Flexeiras,2019,S2,2
Flexeiras,2020,S1,6
Flexeiras,2020,S2,8
Flexeiras,2021,S1,3
Flexeiras,2021,S2,2
Flexeiras,2022,S1,3
Flexeiras,2022,S2,4
Flexeiras,2024,S1,1
Flexeiras,2025,S1,2
Flexeiras,2025,S2,1
Flexeiras,2026,S1,1
Girau do Ponciano,2012,S1,2
Girau do Ponciano,2012,S2,1
Girau do Ponciano,2013,S1,5
Girau do Ponciano,2013,S2,7
Girau do Ponciano,2014,S1,5
