cidade_norm,ano,count
Major Isidoro,2025,1
Major Isidoro,2026,1
Mar Vermelho,2014,1
Mar Vermelho,2017,1
Mar Vermelho,2020,1
Mar Vermelho,2021,1
Mar Vermelho,2022,1
Mar Vermelho,2023,2
Maragogi,2012,8
Maragogi,2013,21
Maragogi,2014,21
Maragogi,2015,12
Maragogi,2016,23
Maragogi,2017,29
Maragogi,2018,9
Maragogi,2019,12
Maragogi,2020,17
Maragogi,2021,21
Maragogi,2022,16
Maragogi,2023,20
Maragogi,2024,17
Maragogi,2025,9
Maragogi,2026,2
Maravilha,2012,5
Maravilha,2013,4
Maravilha,2014,2
Maravilha,2015,1
Maravilha,2016,5
Maravilha,2017,4
Maravilha,2018,2
Maravilha,2019,2
Maravilha,2020,2
Maravilha,2021,2
Maravilha,2022,4
Maravilha,2023,3
Maravilha,2024,6
Maravilha,2025,5
Marechal Deodoro,2012,63
Marechal Deodoro,2013,71
Marechal Deodoro,2014,53
Marechal Deodoro,2015,37
Marechal Deodoro,2016,31
Marechal Deodoro,2017,31
Marechal Deodoro,2018,16
Marechal Deodoro,2019,18
Marechal Deodoro,2020,16
Marechal Deodoro,2021,13
Marechal Deodoro,2022,21
Marechal Deodoro,2023,17
Marechal Deodoro,2024,22
Marechal Deodoro,2025,24
Marechal Deodoro,2026,7
Maribondo,2012,13
Maribondo,2013,8
Maribondo,2014,10
Maribondo,2015,9
Maribondo,2016,8
Maribondo,2017,5
Maribondo,2018,2
Maribondo,2019,1
Maribondo,2020,13
Maribondo,2021,11
Maribondo,2022,6
Maribondo,2023,3
Maribondo,2024,7
Maribondo,2025,11
Maribondo,2026,1
Mata Grande,2012,10
Mata Grande,2013,9
Mata Grande,2014,8
Mata Grande,2015,5
Mata Grande,2016,11
Mata Grande,2017,7
Mata Grande,2018,3
Mata Grande,2019,7
Mata Grande,2020,8
Mata Grande,2021,11
Mata Grande,2022,12
Mata Grande,2023,6
Mata Grande,2024,4
Mata Grande,2025,3
Mata Grande,2026,1
Matriz de Camaragibe,2012,17
Matriz de Camaragibe,2013,13
Matriz de Camaragibe,2014,20
Matriz de Camaragibe,2015,21
Matriz de Camaragibe,2016,13
Matriz de Camaragibe,2017,11
Matriz de Camaragibe,2018,8
Matriz de Camaragibe,2019,10
Matriz de Camaragibe,2020,10
Matriz de Camaragibe,2021,5
Matriz de Camaragibe,2022,11
Matriz de Camaragibe,2023,7
Matriz de Camaragibe,2024,7
Matriz de Camaragibe,2025,11
Matriz de Camaragibe,2026,7
Messias,2012,12
Messias,2013,11
Messias,2014,13
Messias,2015,12
Messias,2016,9
Messias,2017,6
Messias,2018,14
Messias,2019,7
Messias,2020,5
Messias,2021,3
Messias,2022,4
Messias,2023,9
Messias,2024,3
Messias,2025,1
Minador do Negrão,2015,2
Minador do Negrão,2017,1
Minador do Negrão,2018,3
Minador do Negrão,2019,2
Minador do Negrão,2023,2
Minador do Negrão,2024,2
Minador do Negrão,2025,1
Monteirópolis,2012,1
Monteirópolis,2013,1
Monteirópolis,2014,2
Monteirópolis,2015,2
Monteirópolis,2017,2
Monteirópolis,2019,4
Monteirópolis,2020,2
Monteirópolis,2022,1
Monteirópolis,2023,1
Monteirópolis,2024,1
Monteirópolis,2025,2
Murici,2012,30
Murici,2013,50
Murici,2014,26
Murici,2015,26
Murici,2016,19
Murici,2017,20
Murici,2018,18
Murici,2019,6
Murici,2020,10
Murici,2021,6
Murici,2022,14
Murici,2023,12
Murici,2024,9
Murici,2025,8
